"Year","Year ID","Division","Team Conference","Team Name","Team ID","Team URL","Game Date","Opponent Conference","Opponent Name","Opponent ID","Opponent URL","Neutral Site","Location","Home Game","Team Won","Score","Team Score","Opponent Score","Extra Innings","Innings","Game ID","Game URL"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/16/2018","Patriot","Lehigh","352","http://stats.ncaa.org/team/352/12973","true","Wilmington, N.C.","Neutral","Butler","12-1","12","1","false","","4496049","http://stats.ncaa.org/game/index/4496049?org_id=352"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/17/2018","Patriot","Lehigh","352","http://stats.ncaa.org/team/352/12973","true","Wilmington, N.C.","Neutral","Butler","15-6","15","6","false","","4500318","http://stats.ncaa.org/game/index/4500318?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/17/2018","CAA","UNCW","460","http://stats.ncaa.org/team/460/12973","false","UNCW","UNCW","Butler","6-2","6","2","false","","4497800","http://stats.ncaa.org/game/index/4497800?org_id=460"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/18/2018","OVC","Eastern Ky.","202","http://stats.ncaa.org/team/202/12973","true","Wilmington, N.C.","Neutral","Butler","6-5","6","5","false","","4500659","http://stats.ncaa.org/game/index/4500659?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/23/2018","Atlantic 10","George Mason","248","http://stats.ncaa.org/team/248/12973","true","Lexington, S.C.","Neutral","Butler","5-4","5","4","true","11","4504456","http://stats.ncaa.org/game/index/4504456?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/24/2018","Atlantic 10","George Mason","248","http://stats.ncaa.org/team/248/12973","true","Lexington, S.C.","Neutral","Butler","12-1","12","1","false","","4505542","http://stats.ncaa.org/game/index/4505542?org_id=248"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/24/2018","Atlantic 10","George Mason","248","http://stats.ncaa.org/team/248/12973","true","Lexington, S.C.","Neutral","Butler","5-3","5","3","false","","4505751","http://stats.ncaa.org/game/index/4505751?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","02/25/2018","Atlantic 10","George Mason","248","http://stats.ncaa.org/team/248/12973","true","Lexington, S.C.","Neutral","Butler","3-0","3","0","false","","4507400","http://stats.ncaa.org/game/index/4507400?org_id=248"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/02/2018","MAAC","Saint Peter's","617","http://stats.ncaa.org/team/617/12973","true","Osceola, Fla.","Neutral","Butler","5-1","5","1","false","","4582066","http://stats.ncaa.org/game/index/4582066?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/03/2018","ACC","Pittsburgh","545","http://stats.ncaa.org/team/545/12973","false","Pittsburgh","Pittsburgh","Pittsburgh","0-3","0","3","false","","4511921","http://stats.ncaa.org/game/index/4511921?org_id=545"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/04/2018","MAAC","Saint Peter's","617","http://stats.ncaa.org/team/617/12973","true","Osceola, Fla.","Neutral","Butler","19-1","19","1","false","","4582068","http://stats.ncaa.org/game/index/4582068?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/09/2018","Summit League","Purdue Fort Wayne","308","http://stats.ncaa.org/team/308/12973","false","Butler","Butler","Butler","8-7","8","7","false","","4519834","http://stats.ncaa.org/game/index/4519834?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/10/2018","Summit League","Purdue Fort Wayne","308","http://stats.ncaa.org/team/308/12973","false","Butler","Butler","Purdue Fort Wayne","1-5","1","5","false","","4521088","http://stats.ncaa.org/game/index/4521088?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/11/2018","Summit League","Purdue Fort Wayne","308","http://stats.ncaa.org/team/308/12973","false","Butler","Butler","Butler","8-7","8","7","false","","4522689","http://stats.ncaa.org/game/index/4522689?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","03/14/2018","MAC","Ball St.","47","http://stats.ncaa.org/team/47/12973","false","Butler","Butler","Butler","6-2","6","2","false","","4526063","http://stats.ncaa.org/game/index/4526063?org_id=87"
