"Event","Frequency"
"[name] walked, RBI (count)3a [name] advanced to [base]3a [name] advanced to [base]3a [name] scored ","3"
"[name] singled to [fieldLocation] (count)3a [name] advanced to [base], advanced to [base] on a throwing error by [position]3a [name] scored, unearned ","1"
"[name] popped up to [position] (count) ","117"
"[name] singled to [fieldLocation], RBI (count): [name] advanced to [base]: [name] advanced to [base]: [name] scored, unearned ","1"
"[name] hit into double play [position] to [position] to [position] (count)3a [name] out on the play ","3"
"[name] flied out to [position] (count); [name] advanced to [base] ","1"
"[name] grounded out to [position], SAC (count); [name] advanced to [base]; [name] advanced to [base] ","1"
"[name] advanced to [base]3a [name] advanced to [base]3a [name] scored on a wild pitch ","1"
"[name] singled through the right side, RBI, advanced to [base] on a muffed throw by [position] (count)3a [name] scored ","1"
"[name] reached on a throwing error by [position], SAC, bunt, advanced to [base] (count)3a [name] advanced to [base], advanced to [base] on the throw ","1"
"[name] singled to [fieldLocation], advanced to [base] (count) ","1"
"[name] out at [base] [position] to [position] ","2"
"[name] lined out to [position] (count) ","68"
"[name] lined out to [position] to [fieldLocation] (count) ","2"
"[name] grounded out to [position] unassisted, SAC, bunt, RBI (count); [name] advanced to [base]; [name] scored, unearned ","1"
"[name] grounded out to [position] (count); [name] advanced to [base] ","13"
"[name] out at [base] via hidden ball trick ","1"
"[name] reached on a fielding error by [position] (count)3a [name] advanced to [base] on the error ","1"
"[name] singled to catcher, bunt (count): [name] advanced to [base] ","1"
"[name] advanced to [base] on a balk: [name] advanced to [base] on a balk: [name] scored on a balk ","1"
"[name] reached on a fielder's choice to [fieldLocation] (count); [name] out at [base] [position] unassisted ","1"
"[name] singled through the right side (count); [name] advanced to [base] ","7"
"[name] advanced to [base] on a wild pitch: [name] advanced to [base] on a wild pitch ","4"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position] (count) ","1"
"[name] doubled down the [fieldLocation] (count); [name] advanced to [base], out at [base] [position] to [position] to [position] ","1"
"[name] grounded out to [position], bunt (count): [name] advanced to [base] ","1"
"[name] infield fly to [position] (count) ","4"
"[name] hit by pitch (count) ","69"
"[name] singled to [fieldLocation], 3 RBI (count): [name] scored: [name] scored: [name] scored ","1"
"[name] out at [base] [position] to [position], SAC (count): [name] advanced to [base] ","1"
"[name] flied out to [position], SF, RBI (count)3a [name] advanced to [base]3a [name] advanced to [base]3a [name] scored ","1"
"[name] singled to [fieldLocation] (count): [name] advanced to [base], out at [base] [position] to [position] ","1"
"[name] grounded out to [position] unassisted ","5"
"[name] pinch hit for [name] ","105"
"[name] doubled down the [fieldLocation], 2 RBI (count)3a [name] scored3a [name] scored ","3"
"[name] infield fly to [position]: [name] advanced to [base]: [name] advanced to [base]: [name] out at [base] [position] to [position] ","1"
"[name] flied out to [position] ","28"
"[name] lined out to [position] ","2"
"[name] doubled down the [fieldLocation], RBI: [name] advanced to [base]: [name] scored ","1"
"[name] singled, RBI, advanced to [base]: [name] scored ","1"
"[name] doubled to [fieldLocation] (count); [name] advanced to [base] ","3"
"[name] singled down the [position] line (count) ","2"
"[name] out at [base] [position] to [position] (count)3a [name] advanced to [base]3a [name] advanced to [base] ","1"
"[name] singled to [fieldLocation], 2 RBI (count); [name] advanced to [base]; [name] scored; [name] scored ","1"
"[name] hit by pitch (count)3a [name] advanced to [base]3a [name] advanced to [base] ","2"
"[name] advanced to [base] on a passed ball ","16"
"[name] flied out to [position], SF, RBI (count); [name] scored ","2"
"[name] tripled to [fieldLocation], RBI (count); [name] scored, obstruction ","1"
"[name] grounded out to [position], SAC (count)3a [name] advanced to [base] ","1"
"[name] singled through the left side ","1"
"[name] singled through the right side, RBI (count): [name] advanced to [base], advanced to [base] on the throw: [name] scored, unearned ","1"
"[name] out at [base] [position] to [position] (count); [name] advanced to [base]; [name] advanced to [base] ","1"
"[name] grounded out to [position], SAC, bunt (count); [name] advanced to [base]; [name] advanced to [base] ","1"
"[name] doubled down the [fieldLocation], advanced to [base] on a fielding error by [position] (count) ","1"
"[name] singled to [fieldLocation], 2 RBI (count): [name] scored: [name] scored ","1"
