"Game ID","Inning","Away Team","Home Team","Team","Event ID","Event","Score"
"4496528","1","James Madison","High Point","James Madison","0","Semones, F. struck out looking.",""
"4496528","1","James Madison","High Point","James Madison","1","Brown, H. flied out to cf.",""
"4496528","1","James Madison","High Point","James Madison","2","Sisk, A. grounded out to 3b.",""
"4496528","1","James Madison","High Point","High Point","3","ZENTE,A struck out swinging, reached first on a wild pitch.",""
"4496528","1","James Madison","High Point","High Point","4","LEE,H struck out swinging.",""
"4496528","1","James Madison","High Point","High Point","5","ZENTE,A out at second c to 2b, caught stealing.",""
"4496528","1","James Madison","High Point","High Point","6","SCHUNK,B grounded out to 2b.",""
"4496528","1","James Madison","High Point","Inning Summary","R: 0 H: 0 E: 0 LOB: 0","R: 0 H: 0 E: 0 LOB: 0","0-0"
"4496528","2","James Madison","High Point","James Madison","7","Hartigan, C. walked.",""
"4496528","2","James Madison","High Point","James Madison","8","Hartigan, C. advanced to second on a wild pitch.",""
"4496528","2","James Madison","High Point","James Madison","9","Tondi, Z. walked: Hartigan, C. advanced to third on a wild pitch.",""
"4496528","2","James Madison","High Point","James Madison","10","Morgan, M. doubled to right center, RBI: Tondi, Z. advanced to third: Hartigan, C. scored.","1-0"
"4496528","2","James Madison","High Point","James Madison","11","McKay, B. struck out swinging.",""
"4496528","2","James Madison","High Point","James Madison","12","Jones, J. flied out to cf, SF, RBI: Morgan, M. advanced to third: Tondi, Z. scored.","2-0"
"4496528","2","James Madison","High Point","James Madison","13","Sciorra, M. struck out swinging.",""
"4496528","2","James Madison","High Point","High Point","14","JACKSON,C reached on an error by ss.",""
"4496528","2","James Madison","High Point","High Point","15","HOLT,T singled to left field: JACKSON,C advanced to second.",""
"4496528","2","James Madison","High Point","High Point","16","WELLS,T struck out looking.",""
"4496528","2","James Madison","High Point","High Point","17","BROWN,S reached on a fielder's choice: HOLT,T out at second 2b to ss: JACKSON,C advanced to third.",""
"4496528","2","James Madison","High Point","High Point","18","JACKSON,C out at home c to p.",""
"4496528","2","James Madison","High Point","Inning Summary","R: 2 H: 1 E: 0 LOB: 1","R: 0 H: 1 E: 1 LOB: 1","2-0"
"4496528","3","James Madison","High Point","James Madison","19","Semones, F. flied out to lf.",""
"4496528","3","James Madison","High Point","James Madison","20","Brown, H. struck out swinging.",""
"4496528","3","James Madison","High Point","James Madison","21","Sisk, A. struck out looking.",""
"4496528","3","James Madison","High Point","High Point","22","DUNBAR,C grounded out to 2b.",""
"4496528","3","James Madison","High Point","High Point","23","JOHNSON,J pinch hit for GOTTFRIED,A.",""
"4496528","3","James Madison","High Point","High Point","24","JOHNSON,J singled to center field.",""
"4496528","3","James Madison","High Point","High Point","25","JOHNSON,J advanced to second on a wild pitch.",""
"4496528","3","James Madison","High Point","High Point","26","ZENTE,A struck out looking.",""
"4496528","3","James Madison","High Point","High Point","27","LEE,H flied out to lf.",""
"4496528","3","James Madison","High Point","Inning Summary","R: 0 H: 0 E: 0 LOB: 0","R: 0 H: 1 E: 0 LOB: 1","2-0"
"4496528","4","James Madison","High Point","James Madison","28","Hartigan, C. struck out swinging.",""
"4496528","4","James Madison","High Point","James Madison","29","Tondi, Z. grounded out to 2b.",""
"4496528","4","James Madison","High Point","James Madison","30","Morgan, M. struck out looking.",""
"4496528","4","James Madison","High Point","High Point","31","JOHNSON,J to dh.",""
"4496528","4","James Madison","High Point","High Point","32","SCHUNK,B reached on an error by 2b.",""
"4496528","4","James Madison","High Point","High Point","33","JACKSON,C singled to left field: SCHUNK,B advanced to second.",""
"4496528","4","James Madison","High Point","High Point","34","HOLT,T reached on an error by 3b, SAC: JACKSON,C advanced to second: SCHUNK,B advanced to third.",""
