"Event","Frequency"
"[name] scored on an error by [position]","1"
"[name] singled to pitcher (count)","6"
"[name] struck out looking, reached [base] on a passed ball (count)","1"
"[name] singled, bunt (count)","2"
"[name] reached on a dropped fly by [position], advanced to [base] (count)","1"
"[name] advanced to [base], out at [base] [position] to [position]","6"
"[name] singled through the right side, RBI, advanced to [base] on a muffed throw by [position] (count)","1"
"[name] reached on a fielder's choice (count)","50"
"[name] pinch hit for [name]","105"
"[name] reached on an error by [position], RBI (count)","1"
"[name] lined into double play [position] to [position] (count)","8"
"[name] singled up the middle (count)","68"
"[name] out at [base] [position] to [position] to [position] (count)","4"
"[name] fouled out to [position]","3"
"[name] doubled to [fieldLocation], 3 RBI (count)","1"
"[name] out at [base] [position] to [position] to [position]","2"
"[name] scored on a wild pitch","17"
"[name] lined out to [position] (count)","68"
"[name] reached on a fielder's choice to [fieldLocation] (count)","14"
"[name] doubled down the [position] line (count)","8"
"[name] scored on the throw, unearned","1"
"[name] singled to [fieldLocation], bunt (count)","9"
"[name] advanced to [base], scored on a passed ball, unearned","1"
"[name] struck out swinging, bunt","1"
"[name] popped up to [position], bunt (count)","8"
"[name] advanced to [base] on a throwing error by [position], scored on the error, unearned","1"
"[name] advanced to [base], advanced to [base] on a throwing error by [position]","2"
"[name] singled to [fieldLocation], out at [base] [position] to [position] (count)","1"
"[name] out at [base] [position] to [position] to [position], picked off","4"
"[name] singled through the right side, advanced to [base] on a fielding error by [position], RBI (count)","1"
"[name] grounded into double play [position] to [position] to [position], RBI (count)","1"
"[name] out on the play, interference","5"
"[name] grounded into double play [position] to [position] to [position]","1"
"[name] struck out swinging (count)","600"
"[name] tripled to [fieldLocation]","1"
"[name] singled up the middle, advanced to [base] on the throw, RBI (count)","1"
"[name] pinch hit","1"
"[name] advanced to [base], scored on the error, unearned","4"
"[name] popped up to [position]","8"
"[name] singled through the right side (count)","51"
"[name] singled to [fieldLocation], 2 RBI (count)","7"
"[name] homered to [fieldLocation], 2 RBI","3"
"[name] grounded out to [position], SAC, bunt, RBI (count)","2"
"[name] singled to [fieldLocation], 3 RBI (count)","1"
"[name] reached on a fielding error by [position], RBI (count)","1"
"[name] struck out looking, hit into double play [position] unassisted (count)","1"
"[name] picked off, out at [base] [position] to [position]","1"
"[name] intentionally walked (count)","1"
"[name] scored, obstruction","1"
"[name] homered to [fieldLocation], RBI (count)","31"
"[name] reached on a fielder's choice to pitcher (count)","1"
"[name] singled down the [position] line, 2 RBI (count)","1"
"[name] to [position]","112"
"[name] reached on a fielder's choice, advanced to [base] on the error (count)","1"
"[name] homered to [fieldLocation], 4 RBI (count)","1"
"[name] doubled to [fieldLocation], 2 RBI","1"
"[name] reached on a fielding error by [position], advanced to [base] on the error (count)","2"
"[name] advanced to [base] on a wild pitch, scored on a throwing error by [position], unearned","1"
"[name] advanced to [base] on a throwing error by [position]","3"
"[name] out at [base] [position] to [position], picked off","4"
"[name] reached on an error by [position], advanced to [base]","1"
"[name] reached on a throwing error by [position] (count)","15"
"[name] reached on a fielder's choice","6"
"[name] advanced to [base], out at [base] [position] to [position] to [position]","3"
"[name] hit into double play [position] to [position] to [position] (count)","10"
"[name] flied out to [position], SF, RBI (count)","29"
"[name] grounded into double play [position] to [position] to [position] (count)","31"
"[name] hit by pitch, RBI (count)","4"
"[name] reached on a throwing error by [position], RBI (count)","1"
"[name] singled to [fieldLocation], advanced to [base] on the throw (count)","1"
"[name] reached on a throwing error by [position], advanced to [base], SAC (count)","1"
"[name] struck out looking (count)","237"
"[name] reached on an error by [position] (count)","8"
"[name] out at [base] [position] to [position]","55"
"[name] singled through the right side, RBI (count)","15"
"[name] grounded out to [position], RBI (count)","18"
"[name] homered inside the park, 3 RBI (count)","1"
"[name] grounded out to [position] unassisted (count)","64"
"[name] singled through the left side, RBI (count)","13"
"[name] reached on a fielder's choice to [fieldLocation], advanced to [base] (count)","1"
"[name] grounded out to [position], SAC, bunt","2"
"[name] lined out to [position], SF, RBI (count)","2"
"[name] out at [base] [position] to [position], out on the play","5"
"[name] advanced to [base], scored on a wild pitch","1"
"[name] tripled to [fieldLocation], 2 RBI (count)","1"
"[name] homered to [fieldLocation], 3 RBI (count)","6"
"[name] grounded out to [position], bunt","1"
"[name] out at [base] [position] to [position] (count)","27"
"[name] singled to [fieldLocation], advanced to [base] on the throw, RBI (count)","4"
"[name] scored on a wild pitch, unearned","3"
"[name] singled down the [position] line, RBI (count)","2"
"[name] reached on a fielder's choice, advanced to [base] on the throw (count)","1"
"[name] advanced to [base] on a balk","10"
"[name] out at [base] [position] unassisted","11"
"[name] walked","26"
"[name] popped up to [position] down the [fieldLocation] (count)","1"
"[name] hit into double play [position] to [position] to [position]","2"
"[name] scored on the throw","2"
"[name] reached on a fielder's choice, advanced to [base] (count)","1"
"[name] singled to [fieldLocation], RBI, advanced to [base] on an error by [position] (count)","1"
"[name] doubled to [fieldLocation], RBI","1"
"[name] out at [base] [position] unassisted, caught stealing","2"
"[name] out at [base] [position] to [position] to [position], RBI (count)","1"
"/ for [name]","4"
"[name] homered, RBI","2"
"[name] fouled out to [position] (count)","75"
"[name] flied out to [position], SF, RBI","1"
"[name] singled down the [position] line (count)","2"
"[name] advanced to [base]","746"
"[name] scored on a passed ball","3"
"[name] doubled to [fieldLocation] (count)","62"
"[name] tripled to [fieldLocation], RBI (count)","4"
"[name] stole [base], scored","1"
"[name] doubled to [fieldLocation], 2 RBI (count)","10"
"[name] singled up the middle, 2 RBI (count)","5"
"[name] hit by pitch","5"
"[name] struck out swinging, grounded out to [position] unassisted (count)","5"
"[name] advanced to [base] on a fielding error by [position], scored on the error, unearned","1"
"[name] advanced to [base] on a fielding error by [position]","3"
"[name] singled to pitcher, bunt (count)","6"
"[name] tripled down the [position] line, RBI (count)","1"
"[name] singled to [fieldLocation]","23"
"[name] reached on a fielding error by [position], advanced to [base] (count)","2"
"[name] reached on a throwing error by [position], SAC, bunt, advanced to [base] on the error (count)","1"
"[name] doubled down the [fieldLocation], 2 RBI (count)","4"
"[name] singled to [fieldLocation], RBI","4"
"[name] reached on an error by [position], assist by [position] (count)","2"
"[name] singled, bunt, advanced to [base] on a throwing error by [position] (count)","1"
"[name] reached on a throwing error by [position], SAC, bunt, advanced to [base] (count)","2"
"[name] singled to [fieldLocation], advanced to [base] (count)","1"
"[name] struck out looking","17"
"[name] doubled down the [fieldLocation] (count)","17"
"[name] singled up the middle","1"
"[name] singled through the left side, 2 RBI (count)","4"
"[name] grounded out to [position], SAC","1"
"[name] struck out swinging, hit into double play [position] unassisted","1"
"[name] tripled down the [position] line (count)","2"
"[name] popped up to [position] (count)","117"
