"Year","Year ID","Division","Team Conference","Team Name","Team ID","Team URL","Game Date","Opponent Conference","Opponent Name","Opponent ID","Opponent URL","Neutral Site","Location","Home Game","Team Won","Score","Team Score","Opponent Score","Extra Innings","Innings","Game ID","Game URL"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/16/2018","Big South","High Point","19651","http://stats.ncaa.org/team/19651/12973","false","High Point","High Point","James Madison","3-1","3","1","false","","4496528","http://stats.ncaa.org/game/index/4496528?org_id=19651"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/18/2018","Big South","High Point","19651","http://stats.ncaa.org/team/19651/12973","false","High Point","High Point","James Madison","5-1","5","1","false","","4499325","http://stats.ncaa.org/game/index/4499325?org_id=19651"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/18/2018","Big South","High Point","19651","http://stats.ncaa.org/team/19651/12973","false","High Point","High Point","James Madison","4-3","4","3","false","","4505587","http://stats.ncaa.org/game/index/4505587?org_id=19651"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/20/2018","Big South","Liberty","355","http://stats.ncaa.org/team/355/12973","false","Liberty","Liberty","Liberty","1-4","1","4","false","","4501278","http://stats.ncaa.org/game/index/4501278?org_id=355"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/23/2018","America East","Albany (NY)","14","http://stats.ncaa.org/team/14/12973","false","James Madison","James Madison","Albany (NY)","5-8","5","8","true","11","4545416","http://stats.ncaa.org/game/index/4545416?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/24/2018","America East","Albany (NY)","14","http://stats.ncaa.org/team/14/12973","false","James Madison","James Madison","James Madison","4-3","4","3","false","","4505473","http://stats.ncaa.org/game/index/4505473?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/25/2018","America East","Albany (NY)","14","http://stats.ncaa.org/team/14/12973","false","James Madison","James Madison","James Madison","6-2","6","2","false","","4507974","http://stats.ncaa.org/game/index/4507974?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","02/28/2018","Atlantic 10","Richmond","575","http://stats.ncaa.org/team/575/12973","false","Richmond","Richmond","James Madison","10-6","10","6","false","","4509750","http://stats.ncaa.org/game/index/4509750?org_id=575"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/03/2018","Atlantic 10","Fordham","236","http://stats.ncaa.org/team/236/12973","false","James Madison","James Madison","Fordham","6-14","6","14","false","","4513054","http://stats.ncaa.org/game/index/4513054?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/03/2018","Atlantic 10","Fordham","236","http://stats.ncaa.org/team/236/12973","false","James Madison","James Madison","Fordham","3-5","3","5","false","","4513060","http://stats.ncaa.org/game/index/4513060?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/04/2018","Atlantic 10","Fordham","236","http://stats.ncaa.org/team/236/12973","false","James Madison","James Madison","James Madison","7-6","7","6","false","","4514145","http://stats.ncaa.org/game/index/4514145?org_id=317"
"2018","12973","1","CAA","James Madison","317","http://stats.ncaa.org/team/317/12973","03/06/2018","SEC","Tennessee","694","http://stats.ncaa.org/team/694/12973","false","Tennessee","Tennessee","Tennessee","1-10","1","10","false","","4516779","http://stats.ncaa.org/game/index/4516779?org_id=694"
