"Game ID","Team","Player ID","Player","Lineup Position","Games","G","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","High Point","1871441","Scavone, Gabe","13:1","1","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"0","High Point","1871442","Schunk, Blake","3:1, 9:1","2","0.0","1.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","2","0","0","0","0","0","0","0"
"0","High Point","1871443","Sergent, Jordan","7:1, 10:1","2","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","1","1","0"
"0","High Point","1871433","Murrah, Rion","13:1, 15:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1871428","Johnson, Joe","5:1, 6:1, 11:1","3","0.0","1.0","10.0","2.0","0.0","1.0","4.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","1","0","1","1","1","0"
"0","High Point","1871429","Letchworth, Garrett","14:1, 15:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1871430","Lyttle, Grey","16:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1871424","Daczkowski, Drew","17:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1976706","Kates, Jacob","8:1","1","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"0","High Point","1976703","Smith, Harrison","13:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1649018","Zente, Austen","1:3","3","0.0","1.0","13.0","5.0","1.0","0.0","9.0","1.0","2.0","0.0","1.0","0.0","0.0","5.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","3","0","0","0","0"
"0","High Point","1976701","Millwee, Daniel","4:1, 11:1","2","0.0","0.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","2","0"
"0","High Point","1976698","Winger, Jacob","10:1, 11:1","2","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","0","0","1","0","2"
"0","High Point","1976695","Wells, Tanner","5:1, 6:2","3","0.0","0.0","7.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","3","0","0","0","0","0"
"0","High Point","1759795","Woodard, JJ","16:1, 7:1, 8:1","3","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","2","1","0","0","0","0","0","0","0","0","0"
"0","High Point","1649008","Brown, Spencer","9:2, 12:1","3","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","3","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1976693","Holt, Travis","3:2, 5:1","3","0.0","0.0","11.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","2","0","1","0","0","0","0","0","0","0"
"0","High Point","1649015","Lee, Hunter","2:1, 4:1, 8:1","3","0.0","1.0","11.0","2.0","1.0","0.0","3.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","3","0","0","0","0","0","0","0","0"
"0","High Point","1649014","Jackson, Carson","4:1, 7:1","2","0.0","0.0","8.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","2","0","0","0"
"0","High Point","1759786","Dunbar, Conner","2:2, 10:1","3","0.0","0.0","10.0","3.0","0.0","0.0","3.0","0.0","1.0","3.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","3","0","0","0","0","0","0"
"0","High Point","1759790","Hodges, Matt","14:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1759791","Jeffers, Cooper","16:1, 14:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","High Point","1759788","Gottfried, Andrew","17:1, 12:1","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","1","0","0"
"0","High Point","1976681","Dipino, Paul","12:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","High Point","1666786","Vizcaino, Jonny","15:1","1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","UMass Lowell","1887038","Polichetti, John"
"0","UMass Lowell","1887039","Tomczyk, Luke"
"0","UMass Lowell","1768415","Constant, Ricky"
"0","UMass Lowell","1887034","Climo, Cam"
"0","UMass Lowell","1887035","Metelski, Connor"
"0","UMass Lowell","1768435","Young, Michael"
"0","UMass Lowell","1993492","Mejia, Jeff"
"0","UMass Lowell","1659315","Prada, Ben"
"0","UMass Lowell","1887031","Maiola, Colby"
"0","UMass Lowell","1768433","Tumosa, Mark"
"0","UMass Lowell","1993491","Maurice, Kyle"
"0","UMass Lowell","1659316","Ryan, Andrew"
"0","UMass Lowell","1993489","Funaro, Henry"
"0","UMass Lowell","1659304","Barry, Nick"
"0","UMass Lowell","1768430","Rand, Nick"
"0","UMass Lowell","1993510","Riley, Jack"
"0","UMass Lowell","1993508","Martin, Vinnie"
"0","UMass Lowell","1768416","Duffley, Collin"
"0","UMass Lowell","1768422","Olive, Russ"
"0","UMass Lowell","1887040","Leathersich, Ted"
"0","UMass Lowell","1768423","Passatempo, Steve"
"0","UMass Lowell","1993507","Castellanos, Joey"
"0","UMass Lowell","1768421","Marchena, Oscar"
"0","Col. of Charleston","1764731","Wondrack, Danny","4:1, 5:2","3","0.0","1.0","10.0","3.0","0.0","0.0","6.0","1.0","2.0","2.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","2","0","0","0","0","0","0","0","1","0","0"
"0","Col. of Charleston","1996991","Garrett, Cameron","6:2, 8:1","3","0.0","2.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0","1","0","0","0","0","1","0","0","1","0","0"
