"Event","Frequency"
"TARANTINO,Matthew singled to [fieldLocation], RBI; [name] scored ","1"
"[name] reached on a fielder's choice to pitcher (count); [name] advanced to [base]; [name] advanced to [base], scored on an error by [position], unearned; [name] out at home [position] to [position] ","1"
"[name] reached on a fielder's choice to [fieldLocation] (count): [name] out at [base] [position] unassisted ","38"
"MITCHELL,Mal hit by pitch (count) ","1"
"Jamesson struck out swinging, out at [base] [position] to [position] (count) ","1"
"[name] popped up to [position] (count); [name] advanced to [base]; [name] advanced to [base] ","1"
"[name] reached on a fielder's choice to catcher, bunt (count): [name] advanced to [base]: [name] out at [base] [position] to [position] ","1"
"[name] flied out to [position], sacrifice fly, RBI; [name] Jared scored ","1"
"[name] singled down the [fieldLocation] (count): [name] advanced to [base], out at home [position] to [position] ","1"
"**Game resumed at 9:45 p.m. - Delay lasted 1:54** ","1"
"SHULSTAD,Dev to [position] for [name] ","11"
"Kunc grounded out to [position] (count) ","3"
" ","47"
"[name] sliding catch on a sinking liner ","1"
"[name] singled to [fieldLocation], advanced to [base] on an error by [position], 2 RBI (count): [name] advanced to [base], out at home [position] to [position]: [name] scored: [name] scored ","1"
"[name] grounded out to [position], on appeal ","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position]; [name] advanced to [base], advanced to [base] on the error ","1"
"[name] reached on a fielding error by [position] (count)3a [name] advanced to [base] on the error ","4"
"A. Davila grounded into double play [position] to [position] to [position] (count): JT Berry out on the play ","1"
"Tech challenges the safe call at [base] base. Call stands ","1"
"High chopper nicked off glove of 3B [name] & into LF ","1"
"[name] stole [base]; [name] scored ","6"
"[name] singled up the middle, RBI (count); [name] advanced to [base], out at [base] [position] to [position]; [name] advanced to [base]; [name] scored, unearned ","1"
"[name] flied out to [position]: [name] out at home [position] to [position] to [position] to [position] ","1"
"[name] Pey struck out swinging (count) ","6"
"[name] singled, bunt, advanced to [base] on the throw; [name] advanced to [base]; [name] scored on a throwing error by [position] ","1"
"[name] singled, advanced to [base] on a fielding error by [position], advanced to [base] (count); [name] scored, unearned ","1"
"Another sliding catch for Miller. Dah-nuh-nuh (count) ","1"
"[name] grounded out to [position] (count); VER[name] advanced to [base] ","2"
"W. Templett pinch hit for [name] ","1"
"[name] reached on an error by [position], advanced to [base] on an error by [position], RBI (count)3a [name] advanced to [base]3a [name] scored, unearned3a [name] scored, unearned ","1"
"6 to [position] for [name] ","1"
"[name] reached on an error by [position], bunt, SAC: [name] advanced to [base]: [name] advanced to [base] ","1"
"[name] reached on a fielder's choice (count)3a [name] out at [base] [position] to [position] to [position] to [position] to [position] to [position]3a [name] out on the play ","1"
"CORDOVA-SMITH,Peyton hit by pitch ","1"
"[name] flied out to [position] to [fieldLocation] (count): [name] out at [base] [position] to [position] to [position] to [position] to [position] ","1"
"[name] singled down the [position] line (count)3a [name] advanced to [base], out at home [position] to [position] ","1"
"[name] struck out looking; [name] stole [base], advanced to [base] on an error by [position] ","1"
"Je [name] advanced to [base] on a wild pitch ","1"
"[name] reached on an error by [position], RBI: [name] scored, unearned ","4"
"MILLER, D fouled out to [position] (count) ","1"
"[name] singled to [fieldLocation], RBI; [name] scored ","617"
"[name] T singled to [fieldLocation], RBI (count); [name] advanced to [base]; [name] advanced to [base]; [name] scored ","1"
"[name] reached on a fielding error by [position], advanced to [base], RBI (count): [name] advanced to [base]: [name] scored ","2"
"Bilinger flied out to [position] (count) ","2"
"[name] grounded out to [position], SAC, bunt3a [name] advanced to [base]3a [name] no advance ","1"
"BERTHIAUME popped up to [position] (count) ","1"
"UCR head coach Troy Percival visits mound ","1"
"Closner, O hit by pitch (count) ","4"
"SDSU HC Mark Martinez ejected in bottom of the 8th inning ","1"
"[name] singled, out on the play, out at [base] [position] to [position] to [position] (count) ","1"
"J. Harmon doubled to [fieldLocation]: J. Brown advanced to [base] ","1"
"Game delayed at the start due to field maintenance (count) ","1"
"[name] singled, reached on a fielder's choice, RBI (count)3a [name] scored ","1"
"Chris [name] singled up the middle; [name] advanced to [base] ","1"
"[name] advanced to [base]; [name] scored on a passed ball ","13"
"[name] reached on a fielder's choice, out at [base] [position] to [position] (count); [name] out at [base] [position] to [position] to [position] ","1"
"[name] reached on a fielding error by [position], SAC, bunt (count): [name] advanced to [base] ","9"
"Comebacker deflected to SS. Infield hit ","1"
"[name] Jeff singled up the middle ","1"
"[name] reached on an error by [position]; [name] advanced to [base], advanced to [base] on the error ","2"
"[name] advanced to [base] on a passed ball3a [name] scored on a passed ball ","8"
"[name] reached on a fielder's choice to pitcher, bunt (count): [name] advanced to [base]: [name] out at [base] [position] to [position] ","5"
"[name] grounded out to [position], RBI (count)3a [name] Pete scored ","1"
"[name] homered inside the park, 3 RBI (count): [name] scored: [name] scored ","1"
"[name] singled through the left side, advanced to [base] (count): [name] advanced to [base], advanced to [base] on a fielding error by [position] ","1"
"[name] hit into double play [position] to [position] to [position]; Kolb out on the play ","1"
"[name] singled to [fieldLocation], advanced to [base] on the throw, RBI (count); [name] advanced to [base], scored on a throwing error by [position], unearned; [name] scored ","1"
"[name] reached on an error by [position], advanced to [base], RBI (count); [name] scored, unearned ","4"
"[name] lined into double play [position] to [position] to [position] (count); [name] out on the play ","4"
"[name] doubled, RBI (count)3a [name] scored ","8"
"[name] reached on an error by [position], advanced to [base], SF, RBI: [name] scored, unearned: [name] scored, unearned ","1"
"[name] advanced to [base]; [name] advanced to [base] on an error by [position] ","2"
"[name] singled to [fieldLocation], RBI; [name] Jeff scored ","1"
"[name] reached on a fielder's choice, advanced to [base] on an error by [position], RBI; VERLIN,Nate advanced to [base]; [name] advanced to [base] on an error by [position], out at [base] [position] to [position] to [position], picked off; [name] scored, unearned ","1"
"Dagenais struck out swinging (count) ","2"
"Delay for lightnig at 10:35 am ","1"
"[name] doubled, advanced to [base] on the throw, out at [base] [position] to [position] to [position] to [position], 2 RBI (count)3a [name] scored3a [name] scored ","1"
"Spencer flied out to [position] ","1"
"[name] singled, advanced to [base] on an error by [position] (count): [name] scored, unearned ","3"
