"Event","Frequency"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], advanced to [base] (count)","12"
"[name] Rei hit by pitch (count)","1"
"[name] reached on an error by [position], advanced to [base], advanced to [base] on a throwing error by [position] (count)","1"
"[name] doubled to [fieldLocation], out at [base] [position] to [position] to [position], 3 RBI (count)","4"
"[name] Buddy flied out to [position]","4"
"[name] singled through the left side, advanced to [base], RBI (count)","13"
"[name] Rei struck out swinging (count)","11"
"HAR[name] singled up the middle (count)","1"
"[name] reached on a throwing error by [position], advanced to [base], 2 RBI (count)","1"
"[name] ejected at the end of the 8th inning","1"
"[name] Well singled to [fieldLocation] (count)","2"
"VanHoore, C. to [position] for [name]","1"
"[name] flied out to [position], SF, 2 RBI (count)","1"
"[name] pinch hit for Grisanti","3"
"[name] Duncan doubled down the [position] line, RBI","1"
"[name] singled to [fieldLocation], 2 RBI, advanced to [base]","2"
"[name] Eri grounded into double play [position] to [position] to [position]","1"
"First pitch to [name] was fouled near UCD dugout. No play/error on 1B Brgs","1"
"[name] scored on a wild pitch","2114"
"[name] Well struck out swinging (count)","2"
"[name] Matthew pinch hit for [name]","1"
"[name] lined out to [position] (count)","10992"
"[name] doubled to [fieldLocation], 2 RBI, out at [base] [position] to [position] (count)","1"
"[name] singled to [fieldLocation], advanced to [base] on a fielding error by [position], RBI","8"
"[name] Chris out on the play","1"
"[name] reached [base] on an error by [position], out at [base] [position] to [position] to [position]","1"
"[name] singled up the middle, RBI, advanced to [base] on the throw (count)","19"
"[name] T grounded out to [position], bunt (count)","1"
"[name] singled to [fieldLocation], bunt (count)","888"
"[name] singled up the middle, advanced to [base] on the throw, 2 RBI","11"
"[name] reached on an error by [position], advanced to [base] on an error by [position], 2 RBI (count)","1"
"[name] advanced to [base], advanced to [base] on a fielding error by [position]","78"
"[name] Well doubled down the [fieldLocation], 2 RBI (count)","1"
"[name] advanced to [base] on an error by [position], failed pickoff attempt, out at home [position] to [position]","1"
"[name] stole [base], failed pickoff attempt, advanced to [base] on an error by [position]","1"
"[name] singled to [fieldLocation], out at [base] [position] to [position] (count)","101"
"[name] struck out, reached [base] on a wild pitch, advanced to [base] on a throwing error by [position]","1"
"[name] Richar advanced to [base] on a balk","2"
"Double to left field. Both runners score, [name] missed [fieldLocation]","1"
"[name] picked off, advanced to [base] on an error by [position], advanced to [base]","1"
"[name] Jak singled down the [fieldLocation], out at [base] [position] to [position] (count)","1"
"[name] singled down the [position] line, out at [base] [position] to [position]","5"
"[name] singled through the right side, out at [base] [position] to [position], RBI (count)","1"
"[name] doubled to [fieldLocation], advanced to [base] on a throwing error by [position], scored, RBI (count)","1"
"[name] grounded out to [position], bunt, interference","2"
"[name] , picked off, out at [base] [position] to [position] to [position], caught stealing","1"
"[name] singled up the middle, advanced to [base] on a throwing error by [position] (count)","11"
"[name] reached on an error by [position], advanced to [base], SF, RBI (count)","2"
"[name] enters with a 1-1 Count","1"
"[name] grounded out to [position], SAC, bunt, RBI (count)","165"
"[name] singled to [fieldLocation], advanced to [base], RBI (count)","49"
"[name] reached [base] on a dropped fly by [position], advanced to [base]","1"
"[name] Rei struck out looking (count)","4"
"[name] singled to [fieldLocation], advanced to [base] on an error by [position] (count)","78"
"Fresno State RHP [name] ejected in the bottom of the 7th","1"
"[name] McClain flied into double play [position] to [position]","1"
"Andrew [name] to [position] for [name]","1"
"[name] grounded out to [position] down the [position] line, bunt","1"
"[name] failed pickoff attempt, advanced to [base] on an error by [position], advanced to [base]","3"
"[name] Well out at [base] [position] to [position], picked off","1"
"[name] reached on a fielder's choice, advanced to [base] on a fielding error by [position], assist by [position] (count)","1"
"[name] homered to [fieldLocation], RBI (count)","4161"
"[name] AJ singled to [fieldLocation]","1"
"[name] Larr singled to pitcher, bunt (count)","1"
"[name] T.J. singled to [fieldLocation], RBI","1"
"[name] doubled down the [fieldLocation], RBI, out at [base] [position] to [position] to [position] (count)","1"
"[name] reached on a throwing error by [position], advanced to [base] on the error, SAC, bunt (count)","1"
"[name] singled to pitcher, SAC, bunt (count)","1"
"[name] Daul doubled, RBI","1"
"[name] to [position] for Jay. [name]","4"
"**terrific back hand and throw by [name] on 3B line","1"
"[name] reached on a fielder's choice, advanced to [base], RBI (count)","13"
"[name] advanced to [base] on a wild pitch, scored on a throwing error by [position], unearned","21"
"Baillie, D to [position] for [name] I","2"
"[name] leaping catch at the wall in center","1"
"[name] doubled down the [fieldLocation], advanced to [base] on the throw","1"
"[name] reached [base] on a fielding error by [position], advanced to [base]","27"
"[name] singled down the [position] line, 2 RBI","22"
"[name] grounded out to [position] unassisted down the [position] line, SAC, bunt (count)","5"
"[name] grounded out to [position] unassisted, SAC, bunt, 2 RBI (count)","1"
"[name] Col scored, unearned","1"
"[name] advanced to [base] on the error, advanced to [base]","1"
"[name] Jarius popped up to [position]","2"
"[name] singled up the middle, 2 RBI, out at [base] [position] to [position] (count)","1"
"[name] struck out looking to catcher (count)","1"
"[name] Chris singled down the [fieldLocation], RBI","1"
"[name] to [position] for Werkhesier, Ben","1"
"[name] singled up the middle, advanced to [base] on a throwing error by [position], advanced to [base] on the throw (count)","1"
"[name] reached on a throwing error by [position], RBI (count)","48"
"[name] homered down the [fieldLocation], 3 RBI (count)","45"
"[name] struck out swinging, reached [base] on a throwing error by [position], advanced to [base] on the error (count)","3"
"[name] contacted high and tight pitch and put it into fair territory","1"
"[name] advanced to [base] on a fielding error by [position], assist by [position]","21"
"Nice push bunt attempt by [name] but too hard","1"
"[name] Eri singled to [fieldLocation] (count)","3"
"L. Barker pinch hit for [name] King","1"
"Nic [name] reached on a fielder's choice","1"
"VER[name] out at [base] [position] to [position]","1"
"[name] Jac scored","8"
"[name] L., unearned","1"
"[name] TJ grounded out to [position] (count)","4"
"[name] Jr. to [position] for [name]","16"
"[name] singled, bunt, advanced to [base] on a throwing error by [position], advanced to [base] (count)","7"
"[name] Randell scored","3"
"[name] singled, out at [base] [position] to [position] to [position]","12"
"[name] Mitc popped up to [position] (count)","9"
"[name] Chris flied out to [position]","3"
"[name] lined out to [position], SF, RBI (count)","144"
"[name] advanced to [base], out at home [position] to [position] to [position] to [position] to [position]","11"
"[name] Cole doubled down the [position] line, RBI","1"
"[name] out at [base] [position] to [position] (count)","3523"
"[name] singled down the [fieldLocation], RBI, out at [base] [position] to [position] to [position] (count)","1"
"[name] pinch hit for Klohen, A.","3"
"[name] singled, interference, popped up to [position]","1"
"[name] Duncan out at [base] [position] to [position]","1"
"[name] doubled down the [position] line, ground-rule, RBI (count)","15"
"[name] Duncan struck out swinging, out at [base] [position] to [position]","1"
"[name] out at [base] [position] unassisted","1839"
"[name] to [position] for Mitchell,D","1"
"[name] singled up the middle, RBI, out at [base] [position] to [position] to [position] (count)","1"
"[name] to [position] for Weiser, T.","1"
"[name] Quincy walked","3"
"[name] Jared walked","7"
"[name] out at [base] [position] to [position] to [position] to [position] to [position], picked off","39"
"[name] Steve struck out swinging","2"
"[name] T flied out to [position] (count)","7"
"[name] Andre flied out to [position], SF, RBI (count)","1"
"[name] Jac flied out to [position] (count)","5"
"[name] fouled out to [position], SAC, RBI","8"
"[name] Davio reached on a fielder's choice","1"
"[name] to [position] for KIRK[name]","1"
"Fly ball fielded by CF [name] who bobbled it, but no further advance","1"
"[name] singled to [fieldLocation], advanced to [base] on a throwing error by [position], RBI (count)","70"
"[name] Pete advanced to [base]","5"
"[name] stole [base], scored on a muffed throw by [position]","2"
"[name] popped into double play [position] to [position] to [position] (count)","1"
"[name] singled to [fieldLocation], 2 RBI, advanced to [base] on the throw (count)","12"
"[name] flied out to [position], SF, RBI","799"
"[name] singled to [fieldLocation], bunt, advanced to [base] on a fielding error by [position] (count)","1"
"[name] singled, advanced to [base] on an error by [position], advanced to [base] (count)","4"
"[name] Jp advanced to [base]","2"
"Je [name] stole [base]","1"
"[name] singled down the [fieldLocation], advanced to [base]","1"
"[name] Daniel advanced to [base]","4"
"[name] not charged with CS as pitch would have been WP ' [name] ran","1"
"[name] to [position] for [name] Robe","12"
"[name] T.J. singled","2"
"[name] advanced to [base] on a wild pitch, scored on a fielding error by [position]","1"
"[name] Hunte doubled to [fieldLocation] (count)","3"
"Jager Jr. to [position] for [name]","1"
"Andrew [name] to [position] for Nolan [name]","1"
"Jay. [name] to [position]","8"
"[name] Steve to [position] for [name]","12"
"[name] reached [base] on a fielding error by [position], assist by [position], SAC, bunt","1"
"[name] singled to pitcher, advanced to [base] on a throwing error by [position], RBI (count)","6"
"[name] advanced to [base], out at home [position] to [position], out on the play","2"
"[name] doubled, out at [base] [position] to [position] to [position], 3 RBI (count)","1"
"[name] singled to pitcher, bunt (count)","460"
"**nice over the shoulder catch by [name]","1"
"[name] scored on a wild pitch, scored","1"
"[name] singled through the right side, out at [base] [position] to [position] to [position], 2 RBI (count)","2"
"Clayton [name] flied out to [position] to [fieldLocation]","1"
"[name] reached on a fielder's choice, grounded out to [position] unassisted, interference (count)","2"
"[name] DAZ grounded out to [position]","5"
"[name] singled to catcher, bunt, advanced to [base] on a throwing error by [position]","1"
"[name] struck out swinging, hit into double play [position] unassisted (count)","10"
"[name] reached on a fielding error by [position], advanced to [base] on a throwing error by [position], advanced to [base] on the error","1"
"[name] to [position] for [name] Mas","1"
"[name] singled, advanced to [base] on an error by [position], advanced to [base], RBI","4"
"[name] out at [base] [position] to [position], reached on a fielder's choice, RBI (count)","3"
"[name] Jawan struck out swinging, out at [base] [position] to [position]","1"
"Fly ball landed past a diving CF [name]","1"
"Nice play by SS [name]","1"
"[name] reached on a fielder's choice, advanced to [base]","32"
"[name] advanced to [base] on an error by [position], advanced to [base], scored on an error by [position], unearned","1"
"Chase [name] struck out swinging","1"
"[name] reached [base] on an error by [position], advanced to [base] on the throw, RBI","1"
"[name] DAZ scored, unearned","1"
"[name] T singled to [fieldLocation] (count)","3"
"Clayton [name] lined out to [position]","2"
"[name] reached on a fielder's choice to [fieldLocation], bunt, SAC, advanced to [base] (count)","1"
"[name] singled up the middle, advanced to [base] on a fielding error by [position], RBI (count)","7"
"[name] out at [base] [position] to [position] to [position] to [position], picked off, caught stealing","27"
"[name] Peyto to [position] for LUSTER,Antoi","1"
"[name] to [position] for Muratella","1"
"Whitney to [position] for [name]","1"
"[name] singled to [fieldLocation], out at [base] [position] to [position], RBI (count)","38"
"[name] out at home [position] to [position] to [position] to [position], out on the play","1"
"[name] Ryan M singled down the [fieldLocation]","1"
"[name] Davio out at [base] [position] to [position] to [position], picked off","1"
"[name] reached on a fielding error by [position], advanced to [base]","46"
"[name] singled to pitcher, advanced to [base] on an error by [position], RBI","1"
"[name] Bre pinch hit for [name] Andre","1"
"[name] Jarius pinch hit for [name]","1"
"[name] homered, 3 RBI","39"
"[name] struck out looking, out at [base] [position] unassisted","1"
"[name] reached on a fielder's choice to catcher, bunt (count)","19"
"[name] Eri to [position] for [name] Col","1"
"[name] singled down the [position] line, advanced to [base] on a throwing error by [position]","2"
"[name] doubled down the [fieldLocation], RBI, ground-rule (count)","1"
"[name] reached on a fielder's choice, out on double play [position] to [position] to [position]","1"
"[name] singled to [fieldLocation], advanced to [base] on the throw, scored, RBI (count)","1"
"[name] singled, advanced to [base] on an error by [position], out at [base] [position] to [position] to [position] to [position]","1"
"[name] doubled, 2 RBI, advanced to [base] (count)","1"
"[name] Aust reached on a fielder's choice (count)","1"
"[name] TJ out on the play","3"
"[name] out on double play [position] unassisted","3"
"[name] DAZ struck out looking (count)","1"
"[name] popped into double play [position] to [position], bunt (count)","14"
"[name] reached on a fielder's choice, bunt, advanced to [base] on a throwing error by [position] (count)","1"
"[name] reached [base] on a fielding error by [position], assist by [position]","1"
"[name] reached on a fielder's choice to [fieldLocation], advanced to [base] on an error by [position], RBI (count)","1"
"[name] Matt walked","2"
"[name] struck out swinging, out at [base] [position] to [position] (count)","4324"
"[name] singled through the right side, RBI, advanced to [base] on the throw","6"
"[name] doubled to [fieldLocation], advanced to [base] on an error by [position], RBI (count)","4"
"[name] struck out swinging, reached [base] on a wild pitch, advanced to [base] on a throwing error by [position]","2"
"[name] reached on a dropped fly by [position], advanced to [base] on the throw (count)","1"
"[name] Denz'l struck out swinging","1"
"Je [name] out at [base] [position] to [position], SAC, bunt (count)","4"
"[name] popped up to [position] down the [position] line (count)","108"
"1B [name] unable to come up with bounced through from 3B Tate","1"
"[name] doubled to [fieldLocation], ground-rule (count)","166"
"[name] singled through the left side, out at [base] [position] to [position] to [position] to [position] to [position], RBI (count)","1"
"[name] reached [base] on a throwing error by [position], SAC, bunt, advanced to [base] on the error","1"
"[name] struck out swinging, reached [base] on a throwing error by [position], advanced to [base] (count)","10"
"[name] reached on a fielder's choice, SAC, bunt, RBI","8"
"[name] homered to [fieldLocation], inside the park, 2 RBI (count)","6"
"[name] pinch ran for Chamberlin, Jace","11"
"[name] grounded out to [position] unassisted, interference, bunt","1"
