"Event","Frequency"
"","47"
"de Wattevill struck out swinging (count)","4"
"Kendrick to [position] for Westerdahl","1"
"R. Calvin singled up the middle","1"
"J. Panalez to [position] for L. Nicholson","1"
"BLANKENBERGE scored, unearned","1"
"Berthiaume scored, unearned","1"
"L. Mims, Jr. walked (count)","1"
"Krueger flied out to [position]","1"
"LUKE, Bryce advanced to [base] on a wild pitch","3"
"Game resumed at 12:02 p.m. on Saturday, May 19","1"
"Letein singled to [fieldLocation], RBI (count)","1"
"Saldivar Jr. flied out to [position] (count)","1"
"CORDOVA-SMITH,Peyton struck out looking","2"
"(count)","1"
"Kemper out on the play","1"
"Mampe out at [base] [position] unassisted","1"
"Rush singled up the middle","1"
"Merchant, Z. grounded out to [position] unassisted (count)","1"
"Crose struck out swinging","1"
"EDWARDS,Chri to [position] for TEOFILO,Fale","1"
"BOGGS, A struck out looking (count)","1"
"B. Peguero walked, RBI (count)","1"
"Robinette struck out swinging (count)","1"
"GADDIS,Nic doubled to [fieldLocation] (count)","2"
"/","6"
"B. Ector singled through the left side, 2 RBI","1"
"Warn,Michael to [position] for Rowan-,Merle","1"
"Almendarez reached on a fielder's choice (count)","1"
"*Play resumed at 10:46 after a 53m delay","1"
"Chamberlin, Jace grounded into double play [position] to [position] to [position]","1"
"Berthiaume stole [base]","1"
"Johnathan Mc grounded out to [position] unassisted","1"
"T. Gutirrez singled down the [fieldLocation], RBI (count)","1"
"A. Reed out on the play","1"
"Boselli Iii singled to [fieldLocation] (count)","1"
"Jackson Hugh popped up to [position]","3"
"T. Baumann singled to [fieldLocation], RBI","1"
"Rodgers, R. reached on a fielder's choice (count)","1"
"A. Barrios advanced to [base] on an error by [position], advanced to [base]","1"
"Bryant Keel scored, unearned","1"
"David Snider struck out looking","1"
"Dowdy struck out swinging (count)","1"
"COSS doubled down the [position] line (count)","1"
"MONTENEGR0 flied out to [position] (count)","1"
"Nelson grounded out to [position] (count)","1"
"T. Thomas pinch hit for N. Fletcher","1"
"MacKENZIE, Jake grounded out to [position]","5"
"Libuano, R. walked (count)","2"
"Jarvis Warne singled, advanced to [base] on an error by [position]","1"
"M. Irving to [position] for K. Butler","1"
"B. Schack reached on a fielder's choice up the middle (count)","1"
"Dving catch by App State Centerfielder","1"
"LARUE,Will struck out swinging","1"
"andrews freezes batter on front door slider to end frame","1"
"Heard advanced to [base]","3"
"Rain delay issued at 3:36 p.m","1"
"Triplett struck out looking (count)","1"
"FARMER,Garre struck out swinging, reached [base] on a wild pitch (count)","1"
"J. Johnson to [position] for J. Brown","1"
"H. Babineaux struck out swinging (count)","1"
"BLANC,Eric advanced to [base] on a passed ball","2"
"I. Santos flied out to [position] (count)","1"
"L. O'Neal out on the play","1"
"I. Rush singled to [fieldLocation]","2"
"Gilbert pinch hit for Phelts","1"
"Lanclos, T. hit into double play [position] to [position] to [position] (count)","1"
"Kozlak struck out looking","1"
"BREWSTER,Aus to [position] for CHANDLER,Gra","1"
"Chamberlin, Jace to [position]","3"
"LARUE,Will stole [base]","1"
"J. Martinez scored","1"
"Jarvis Warne walked (count)","6"
"Jackson Hugh advanced to [base]","5"
"BROOKS,Willi grounded out to [position] (count)","1"
"C. Simoneaux singled to pitcher, bunt (count)","1"
"Slusher struck out swinging","1"
"Sanchez to [position] for Drummond","1"
"L. Cassidy struck out looking (count)","1"
"infield in, waves at breaking ball off plate","1"
"A. Rivera flied out to [position]","2"
"Berthiaume advanced to [base], out at [base] [position] to [position] to [position]","1"
"UCR head coach Troy Percival visits mound. Final pitch count","2"
"Fly ball drops into right-center field and makes Murray's run EARNED","1"
"TARANTINO,Matthew struck out swinging","9"
"GCU coach visits mound. Pitches","2"
"Play reviewed to see if it went over the fence. Ruling of in play upheld","1"
"Hearn. H. singled through the left side (count)","1"
"Dopkowski hit by pitch (count)","1"
"DelSignore singled to [fieldLocation]","1"
"BLANKENBERGE advanced to [base], scored on the throw, unearned","1"
"Triplett advanced to [base] on a wild pitch","1"
"grounder into 56 hole, almost spectacular play but wide throw dropped","1"
"Martinez grounded out to [position]","1"
"Balgaard,B struck out swinging, out at [base] [position] to [position] (count)","1"
"Mcshane walked","1"
"Olden,R reached on a throwing error by [position], advanced to [base] (count)","1"
"Diaz,V grounded out to [position] (count)","2"
"Thomas singled down the [fieldLocation], RBI (count)","1"
"LUKE, Bryce stole [base]","1"
"UCR head coach Troy Percival visits mound after wild pitch. Pitches","1"
"Start of game delayed by rain at 3:02 p.m. CT","1"
"MacKENZIE, Jake homered to [fieldLocation], RBI","1"
"N Letien advanced to [base] on a passed ball","1"
"bloop, wind-aided single","1"
"Rissler flied out to [position]","1"
"Tanner Gaff struck out swinging","1"
"/ for Ager","1"
"LUKE, Bryce flied out to [position] (count)","6"
"Play Under Review (count) - Runner Ruled Safe at 1st","1"
"K. Rooklin grounded out to [position] unassisted (count)","1"
"Play was suspended due to darkness with 1 out in the T7th inning","1"
"C. Pepper struck out swinging (count)","1"
"BLANKENBERGE singled through the right side (count)","2"
"Dowdy singled to [fieldLocation], bunt (count)","1"
"Clarke advanced to [base]","1"
"Reyes out on the play","1"
"Berthiaume grounded into double play [position] to [position] to [position] (count)","1"
"D. Tezeno singled, bunt","1"
"T. Ruiz tripled to [fieldLocation], 2 RBI (count)","1"
"Jarvis Warne singled to [fieldLocation], 2 RBI","1"
"Mathews to [position]","2"
"BLANC,Eric struck out swinging","6"
"Jarvis Warne singled, bunt","1"
"C. Pack pinch hit for L. Cassidy","1"
"Infield single due to a couple of bad hops along the way","1"
"After review, batter is out - KS","1"
"UC Irvine head coach ejected","1"
"GERHOLD grounded out to [position] unassisted","1"
"Steinborn,G walked (count)","1"
"SOPER singled through the right side","1"
"SAWRIE,Natha to [position] for LUSTER,Antoi","2"
"D. Tezeno struck out swinging","1"
"Pitch to the backstop, but bounced right back to the catcher","1"
"Anderson, C. hit by pitch (count)","1"
